"chapter_order","chapter_title","topic_order","topic_title","topic_description","topic_details","explanation","example","example_tips","dialogue","image_alt","image_name","image_url","image_prompt"
"1","Hello! Getting Started","1.1","Greetings and Identity","Basic greetings and introducing yourself in Sanskrit","Basic greetings and introducing yourself in Sanskrit","Learn how to greet people and introduce yourself in Sanskrit. This lesson covers the fundamental phrases for meeting and getting to know someone.","{ sanskrit: ""namaste (नमस्ते)"", english: ""Hello"" | sanskrit: ""svāgatam (स्वागतम्)"", english: ""Welcome"" | sanskrit: ""mama nāma (मम नाम)"", english: ""My name"" | sanskrit: ""tava nāma (तव नाम)"", english: ""Your name"" | sanskrit: ""kaḥ (कः)"", english: ""Who"" | sanskrit: ""kim (किम्)"", english: ""What"" }","Use 'namaste' for both hello and goodbye. It's a respectful greeting that can be used at any time of day.","{ sanskrit: ""Person A: namaste! (Hello!)"", english: ""Person A: Hello!"" | sanskrit: ""Person B: namaste! mama nāma Rāmaḥ. (Hello! My name is Rama.)"", english: ""Person B: Hello! My name is Rama."" | sanskrit: ""Person A: tava nāma kim? (What is your name?)"", english: ""Person A: What is your name?"" | sanskrit: ""Person B: mama nāma Sītā. (My name is Sita.)"", english: ""Person B: My name is Sita."" }","Two people greeting each other in traditional Indian style","greetings-practice.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/greetings-practice.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Two people greeting each other in traditional Indian style, bright colors, clear typography, educational design"
"1","Hello! Getting Started","1.6","Vocabulary: Top 10 Daily Use Items","Essential vocabulary for daily conversations","Essential vocabulary for daily conversations","","{ sanskrit: ""pustakam (पुस्तकम्)"", english: ""book"" | sanskrit: ""phalam (फलम्)"", english: ""fruit"" | sanskrit: ""jalam (जलम्)"", english: ""water"" | sanskrit: ""annam (अन्नम्)"", english: ""food"" | sanskrit: ""vastraṃ (वस्त्रं)"", english: ""cloth/clothing"" | sanskrit: ""ghṛtam (घृतम्)"", english: ""ghee"" | sanskrit: ""dūdham (दूधम्)"", english: ""milk"" | sanskrit: ""śakam (शकम्)"", english: ""vegetable"" | sanskrit: ""mudrā (मुद्रा)"", english: ""coin/money"" | sanskrit: ""gṛham (गृहम्)"", english: ""house"" }","Most of these words are neuter nouns ending in '-am'. Practice using them with 'idam' (this) and 'tat' (that).","
          { sanskrit: ""Person A: kim idam?"", english: ""What is this?"" },
          { sanskrit: ""Person B: idam pustakam."", english: ""This is a book."" },
          { sanskrit: ""Person A: kim tat?"", english: ""What is that?"" },
          { sanskrit: ""Person B: tat phalam."", english: ""That is a fruit."" }
        ","Various daily use items like books, fruits, water, food, clothing, etc.","daily-use-items.jpg","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/daily-use-items.jpg/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Various daily use items like books, fruits, water, food, clothing, etc., bright colors, clear typography, educational design"
"1","Hello! Getting Started","1.3","My Name Is... (The Feminine Name)","Learning feminine gender names and introductions","Learning feminine gender names and introductions","","{ sanskrit: ""mama nāma (मम नाम)"", english: ""My name"" | sanskrit: ""sītā (सीता)"", english: ""Sita (feminine name)"" | sanskrit: ""pārvatī (पार्वती)"", english: ""Parvati (feminine name)"" | sanskrit: ""lakṣmī (लक्ष्मी)"", english: ""Lakshmi (feminine name)"" | sanskrit: ""putrī (पुत्री)"", english: ""daughter (feminine)"" }","Feminine names in Sanskrit typically end in '-ā' in the nominative case. These represent female persons or feminine concepts.","
          { sanskrit: ""Person A: mama nāma sītā."", english: ""My name is Sita."" },
          { sanskrit: ""Person B: mama nāma pārvatī."", english: ""My name is Parvati."" }
        ","Traditional Indian female figures representing feminine names","feminine-names.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/feminine-names.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Traditional Indian female figures representing feminine names, bright colors, clear typography, educational design"
"1","Hello! Getting Started","1.2","My Name Is... (The Masculine Name)","Learning masculine gender names and introductions","Learning masculine gender names and introductions","","{ sanskrit: ""mama nāma (मम नाम)"", english: ""My name"" | sanskrit: ""rāmaḥ (रामः)"", english: ""Rama (masculine name)"" | sanskrit: ""kṛṣṇaḥ (कृष्णः)"", english: ""Krishna (masculine name)"" | sanskrit: ""arjunaḥ (अर्जुनः)"", english: ""Arjuna (masculine name)"" | sanskrit: ""putraḥ (पुत्रः)"", english: ""son (masculine)"" }","Masculine names in Sanskrit typically end in '-aḥ' in the nominative case. These represent male persons or masculine concepts.","
          { sanskrit: ""Person A: mama nāma rāmaḥ."", english: ""My name is Rama."" },
          { sanskrit: ""Person B: mama nāma kṛṣṇaḥ."", english: ""My name is Krishna."" }
        ","Traditional Indian male figures representing masculine names","masculine-names.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/masculine-names.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Traditional Indian male figures representing masculine names, bright colors, clear typography, educational design"
"1","Hello! Getting Started","1.4","Asking: Who? and What? (kaḥ and kim)","Learning interrogative pronouns","Learning interrogative pronouns","","{ sanskrit: ""kaḥ (कः)"", english: ""Who (masculine)"" | sanskrit: ""kā (का)"", english: ""Who (feminine)"" | sanskrit: ""kim (किम्)"", english: ""What"" | sanskrit: ""tava nāma kim? (तव नाम किम्?)"", english: ""What is your name?"" | sanskrit: ""saḥ kaḥ? (सः कः?)"", english: ""Who is he?"" | sanskrit: ""sā kā? (सा का?)"", english: ""Who is she?"" }","Interrogative pronouns change based on gender: 'kaḥ' for masculine, 'kā' for feminine, and 'kim' for 'what'.","
          { sanskrit: ""Person A: tava nāma kim?"", english: ""What is your name?"" },
          { sanskrit: ""Person B: mama nāma rāmaḥ. tava nāma kim?"", english: ""My name is Rama. What is your name?"" },
          { sanskrit: ""Person A: mama nāma sītā."", english: ""My name is Sita."" }
        ","Visual representation of question words and interrogative pronouns","question-words.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/question-words.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Visual representation of question words and interrogative pronouns, bright colors, clear typography, educational design"
"1","Hello! Getting Started","1.5","Yes/No: Simple Affirmation and Negation","Learning to say yes and no in Sanskrit","Learning to say yes and no in Sanskrit","","{ sanskrit: ""āṃ (आम्)"", english: ""Yes"" | sanskrit: ""na (न)"", english: ""No"" | sanskrit: ""āṃ, mama nāma rāmaḥ (आम्, मम नाम रामः)"", english: ""Yes, my name is Rama"" | sanskrit: ""na, mama nāma sītā (न, मम नाम सीता)"", english: ""No, my name is Sita"" | sanskrit: ""kim? āṃ na vā? (किम्? आम् न वा?)"", english: ""What? Yes or no?"" }","'āṃ' is the standard way to say 'yes' in Sanskrit, while 'na' means 'no'. These are simple but essential words for conversation.","
          { sanskrit: ""Person A: tava nāma rāmaḥ?"", english: ""Is your name Rama?"" },
          { sanskrit: ""Person B: āṃ, mama nāma rāmaḥ."", english: ""Yes, my name is Rama."" },
          { sanskrit: ""Person A: tava nāma sītā?"", english: ""Is your name Sita?"" },
          { sanskrit: ""Person B: na, mama nāma rāmaḥ."", english: ""No, my name is Rama."" }
        ","People having conversations with yes/no responses","yes-no-practice.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/yes-no-practice.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, People having conversations with yes/no responses, bright colors, clear typography, educational design"
"2","Naming Things & Asking 'Is It There?'","2.1","Existence and Identification","Learning to express existence and identify objects","Learning to express existence and identify objects","","{ sanskrit: ""asti (अस्ति)"", english: ""is, exists"" | sanskrit: ""nāsti (नास्ति)"", english: ""is not, does not exist"" | sanskrit: ""kim asti? (किम् अस्ति?)"", english: ""What is there?"" | sanskrit: ""atra asti (अत्र अस्ति)"", english: ""Here is"" | sanskrit: ""tatra asti (तत्र अस्ति)"", english: ""There is"" }","The word 'asti' is one of the most fundamental verbs in Sanskrit, meaning 'is' or 'exists'. Its negative form is 'nāsti'.","
          { sanskrit: ""Person A: kim asti atra? (किम् अस्ति अत्र?)"", english: ""What is here?"" },
          { sanskrit: ""Person B: pustakam asti atra. (पुस्तकम् अस्ति अत्र।)"", english: ""A book is here."" },
          { sanskrit: ""Person A: kalam asti? (कलमम् अस्ति?)"", english: ""Is there a pen?"" },
          { sanskrit: ""Person B: na, kalam nāsti. (न, कलमम् नास्ति।)"", english: ""No, there is no pen."" }
        ","Various objects on a table showing existence concepts","existence-practice.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/existence-practice.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Various objects on a table showing existence concepts, bright colors, clear typography, educational design"
"2","Naming Things & Asking 'Is It There?'","2.2","Exists/Does Not Exist","Learning to express existence and non-existence","Learning to express existence and non-existence","","{ sanskrit: ""asti (अस्ति)"", english: ""is, exists"" | sanskrit: ""nāsti (नास्ति)"", english: ""is not, does not exist"" | sanskrit: ""kim nāsti? (किम् नास्ति?)"", english: ""What is not there?"" | sanskrit: ""atra nāsti (अत्र नास्ति)"", english: ""Here is not"" | sanskrit: ""tatra nāsti (तत्र नास्ति)"", english: ""There is not"" }","'Nāsti' is the negative form of 'asti'. It's formed by adding 'nā' (not) before 'asti' (is).","
          { sanskrit: ""Person A: pustakam asti atra? (पुस्तकम् अस्ति अत्र?)"", english: ""Is there a book here?"" },
          { sanskrit: ""Person B: ām, pustakam asti. (आम्, पुस्तकम् अस्ति।)"", english: ""Yes, there is a book."" },
          { sanskrit: ""Person A: kalam asti? (कलमम् अस्ति?)"", english: ""Is there a pen?"" },
          { sanskrit: ""Person B: na, kalam nāsti. (न, कलमम् नास्ति।)"", english: ""No, there is no pen."" }
        ","A table with some objects present and some missing","exists-not-practice.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/exists-not-practice.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, A table with some objects present and some missing, bright colors, clear typography, educational design"
"2","Naming Things & Asking 'Is It There?'","2.5","Feminine Demonstratives","Learning feminine demonstrative pronouns","Learning feminine demonstrative pronouns","","{ sanskrit: ""sā (सा)"", english: ""she, that (feminine)"" | sanskrit: ""eṣā (एषा)"", english: ""this (feminine)"" | sanskrit: ""sā sītā (सा सीता)"", english: ""she is Sita"" | sanskrit: ""eṣā putrī (एषा पुत्री)"", english: ""this is a daughter"" }","Feminine demonstratives like 'sā' and 'eṣā' are used to point to feminine nouns. They agree in gender with the noun they refer to.","
          { sanskrit: ""Person A: sā kā? (सा का?)"", english: ""Who is she?"" },
          { sanskrit: ""Person B: sā sītā. (सा सीता।)"", english: ""She is Sita."" },
          { sanskrit: ""Person A: eṣā kā? (एषा का?)"", english: ""Who is this?"" },
          { sanskrit: ""Person B: eṣā putrī. (एषा पुत्री।)"", english: ""This is a daughter."" }
        ","Traditional Indian female figures with demonstrative pronouns","feminine-demonstratives.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/feminine-demonstratives.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Traditional Indian female figures with demonstrative pronouns, bright colors, clear typography, educational design"
"2","Naming Things & Asking 'Is It There?'","2.4","Masculine Demonstratives","Learning masculine demonstrative pronouns","Learning masculine demonstrative pronouns","","{ sanskrit: ""saḥ (सः)"", english: ""he, that (masculine)"" | sanskrit: ""eṣaḥ (एषः)"", english: ""this (masculine)"" | sanskrit: ""saḥ rāmaḥ (सः रामः)"", english: ""he is Rama"" | sanskrit: ""eṣaḥ putraḥ (एषः पुत्रः)"", english: ""this is a son"" }","Masculine demonstratives like 'saḥ' and 'eṣaḥ' are used to point to masculine nouns. They agree in gender with the noun they refer to.","
          { sanskrit: ""Person A: saḥ kaḥ? (सः कः?)"", english: ""Who is he?"" },
          { sanskrit: ""Person B: saḥ rāmaḥ. (सः रामः।)"", english: ""He is Rama."" },
          { sanskrit: ""Person A: eṣaḥ kaḥ? (एषः कः?)"", english: ""Who is this?"" },
          { sanskrit: ""Person B: eṣaḥ putraḥ. (एषः पुत्रः।)"", english: ""This is a son."" }
        ","Traditional Indian male figures with demonstrative pronouns","masculine-demonstratives.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/masculine-demonstratives.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Traditional Indian male figures with demonstrative pronouns, bright colors, clear typography, educational design"
